X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.149749712,4.69364371400002,62,12836626,A001513438,2022/09/08 05:00:00+00,14:50:00,2022,SEPTIEMBRE,JUEVES,2022/09/08 19:50:00+00,CL 24  - KR 121 A  02,VOLCAMIENTO,FONTIBON,2,MOTOCICLISTA,N,,MASCULINO,76,MOTOCICLISTA
-74.029,4.702,463,12836789,A001512596,2022/09/10 05:00:00+00,13:20:00,2022,SEPTIEMBRE,SABADO,2022/09/10 18:20:00+00,KR 7  - CL 127   02,CHOQUE,USAQUEN,2,MOTOCICLISTA,N,,MASCULINO,44,MOTOCICLISTA
-74.07028294,4.68297603899998,466,12836791,A001513836,2022/09/09 05:00:00+00,19:40:00,2022,SEPTIEMBRE,VIERNES,2022/09/10 00:40:00+00,CL 90  - KR 61 A  02,CHOQUE,BARRIOS UNIDOS,1,MOTOCICLISTA,N,,MASCULINO,21,MOTOCICLISTA
-74.084,4.53800000000001,716,12836366,A001513363,2022/09/07 05:00:00+00,06:30:00,2022,SEPTIEMBRE,MIERCOLES,2022/09/07 11:30:00+00,KR 14  E- CL 46 G  S 02,CHOQUE,SAN CRISTOBAL,2,PASAJERO,N,,FEMENINO,38,MOTOCICLISTA
-74.162,4.60300000000001,1110,12820196,A001450776,2022/06/04 05:00:00+00,18:55:00,2022,JUNIO,SABADO,2022/06/04 23:55:00+00,AV AVENIDA CIUDAD DE VILLAVICENCIO - CL 53 C BIS S 02,VOLCAMIENTO,BOSA,1,MOTOCICLISTA,N,,MASCULINO,43,MOTOCICLISTA
-74.094,4.58600000000001,1156,12820257,A001451338,2022/03/31 05:00:00+00,22:00:00,2022,MARZO,JUEVES,2022/04/01 03:00:00+00,AV AVENIDA CARACAS - CL 11  S 02,CHOQUE,ANTONIO NARINO,1,MOTOCICLISTA,N,,MASCULINO,45,MOTOCICLISTA
-74.147,4.64999999999998,1287,12819935,A001452036,2022/06/03 05:00:00+00,08:17:00,2022,JUNIO,VIERNES,2022/06/03 13:17:00+00,AV AVENIDA CIUDAD DE CALI - CL 10 A  02,CHOQUE,KENNEDY,2,MOTOCICLISTA,N,,FEMENINO,43,MOTOCICLISTA
-74.184,4.63299999999998,1345,12819995,A001452719,2022/06/05 05:00:00+00,02:00:00,2022,JUNIO,DOMINGO,2022/06/05 07:00:00+00,KR 89 B  - CL 52 C  S 02,CHOQUE,BOSA,1,MOTOCICLISTA,N,,MASCULINO,38,MOTOCICLISTA
-74.123,4.62900000000002,1694,12819670,A001451658,2022/06/03 05:00:00+00,00:39:00,2022,JUNIO,VIERNES,2022/06/03 05:39:00+00,AV AVENIDA DE LAS AMERICAS - KR 68 A  02,CHOQUE,KENNEDY,1,MOTOCICLISTA,N,,MASCULINO,25,MOTOCICLISTA
-74.181462996,4.60833070400002,1870,87252,712064700,2007/01/23 05:00:00+00,14:15:00,2007,ENERO,MARTES,2007/01/23 19:15:00+00,KR 80-59 S 35,CHOQUE,BOSA,2,CONDUCTOR,,,MASCULINO,32,CONDUCTOR
-74.139285036,4.559190505,1914,87552,712272600,2007/02/26 05:00:00+00,17:50:00,2007,FEBRERO,LUNES,2007/02/26 22:50:00+00,AV BOYACA-CL 61 S ,CHOQUE,CIUDAD BOLIVAR,2,CICLISTA,,,MASCULINO,52,CICLISTA
